date,currency_pair,open,high,low,close,adjusted_close,volume,source
2026-03-29,CNH/USD,0.144580542929,0.144604376885,0.144445423463,0.144455230435,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-30,CNH/USD,0.144580542929,0.144746707736,0.144368057701,0.144613159798,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-31,CNH/USD,0.144618806519,0.145224720733,0.144481736786,0.145222822638,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-01,CNH/USD,0.145206796259,0.145548331507,0.145147571536,0.145388776859,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-02,CNH/USD,0.145480361606,0.145512538815,0.14484545714,0.14517475411,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-03,CNH/USD,0.145165059931,0.14538412667,0.145146307478,0.145252354178,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-05,CNH/USD,0.145801074846,0.145832330736,0.145186979051,0.145192670674,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-06,CNH/USD,0.145283586296,0.145518467749,0.145110080507,0.145474435777,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-07,CNH/USD,0.145501317514,0.145914042038,0.145275988058,0.145882963933,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-08,CNH/USD,0.145905951941,0.146636381366,0.145895521299,0.146360168958,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
